setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,casos,poblacio
15,2022,11/04/2022,17/04/2022,64,GIRONA,6400,GIRONA,Dona,80 o més,4,2.00,10656.00
3,2022,17/01/2022,23/01/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,1,2.00,4476.00
51,2020,14/12/2020,20/12/2020,61,LLEIDA,6100,LLEIDA,Home,70 a 79,3,1.00,8013.00
40,2022,03/10/2022,09/10/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,2,1.00,3026.00
12,2021,22/03/2021,28/03/2021,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,3,2.00,18439.00
28,2022,11/07/2022,17/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,3,1.00,13669.00
11,2021,15/03/2021,21/03/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,1,1.00,4498.00
36,2020,31/08/2020,06/09/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,4.00,14695.00
40,2020,28/09/2020,04/10/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,3,2.00,8103.00
49,2020,30/11/2020,06/12/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,3,16.00,28964.00
11,2021,15/03/2021,21/03/2021,64,GIRONA,6400,GIRONA,Home,80 o més,3,4.00,10440.00
5,2021,01/02/2021,07/02/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,3,16.00,18405.00
41,2020,05/10/2020,11/10/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,4,2.00,5756.00
8,2021,22/02/2021,28/02/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,2,4.00,26789.00
22,2022,30/05/2022,05/06/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,4,1.00,20578.00
52,2020,21/12/2020,27/12/2020,61,LLEIDA,6100,LLEIDA,Home,70 a 79,3,1.00,8013.00
15,2021,12/04/2021,18/04/2021,78,BARCELONA,7801,METROPOLITANA SUD,Dona,70 a 79,3,3.00,42412.00
3,2021,18/01/2021,24/01/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,60 a 69,4,1.00,6046.00
20,2020,11/05/2020,17/05/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,4,4.00,11747.00
51,2020,14/12/2020,20/12/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,3,4.00,6331.00
39,2020,21/09/2020,27/09/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,1,1.00,4630.00
12,2021,22/03/2021,28/03/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,3,4.00,18405.00
8,2022,21/02/2022,27/02/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,2,1.00,1787.00
11,2020,09/03/2020,15/03/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,4,1.00,14784.00
13,2021,29/03/2021,04/04/2021,61,LLEIDA,6100,LLEIDA,Home,70 a 79,4,2.00,4222.00
29,2021,19/07/2021,25/07/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,4,3.00,20369.00
7,2021,15/02/2021,21/02/2021,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Dona,80 o més,3,1.00,3020.00
13,2021,29/03/2021,04/04/2021,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,3,2.00,34787.00
4,2021,25/01/2021,31/01/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,45 a 59,2,2.00,70166.00
13,2020,23/03/2020,29/03/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,70 a 79,3,24.00,12839.00
35,2021,30/08/2021,05/09/2021,78,BARCELONA,7801,METROPOLITANA SUD,Dona,45 a 59,3,1.00,107681.00
23,2022,06/06/2022,12/06/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,3,6.00,30865.00
22,2022,30/05/2022,05/06/2022,64,GIRONA,6400,GIRONA,Home,80 o més,3,2.00,10436.00
3,2022,17/01/2022,23/01/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,45 a 59,4,2.00,26890.00
29,2021,19/07/2021,25/07/2021,78,BARCELONA,7801,METROPOLITANA SUD,Dona,70 a 79,2,3.00,11678.00
19,2021,10/05/2021,16/05/2021,61,LLEIDA,6100,LLEIDA,Home,60 a 69,3,1.00,12396.00
32,2020,03/08/2020,09/08/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,1.00,14695.00
32,2021,09/08/2021,15/08/2021,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Dona,80 o més,3,1.00,3020.00
32,2021,09/08/2021,15/08/2021,64,GIRONA,6400,GIRONA,Home,70 a 79,2,1.00,2204.00
50,2020,07/12/2020,13/12/2020,64,GIRONA,6400,GIRONA,Dona,45 a 59,3,2.00,51931.00
51,2021,20/12/2021,26/12/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,3,2.00,51057.00
16,2021,19/04/2021,25/04/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,4,3.00,7538.00
1,2021,04/01/2021,10/01/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,60 a 69,4,1.00,11607.00
