setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,casos,poblacio
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,3,8.00,10856.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,2,1.00,15330.00
4,2022,24/01/2022,30/01/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,4,8.00,7642.00
32,2022,08/08/2022,14/08/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,3,2.00,10856.00
45,2022,07/11/2022,13/11/2022,64,GIRONA,6400,GIRONA,Home,70 a 79,3,1.00,18494.00
30,2022,25/07/2022,31/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,4,1.00,8032.00
33,2022,15/08/2022,21/08/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,45 a 59,3,1.00,45821.00
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,3,6.00,10856.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,1,1.00,2473.00
52,2021,27/12/2021,02/01/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,70 a 79,3,1.00,13642.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,3,1.00,18707.00
29,2022,18/07/2022,24/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,3,7.00,19704.00
5,2022,31/01/2022,06/02/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,70 a 79,4,1.00,7963.00
44,2022,31/10/2022,06/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,3,1.00,7896.00
16,2022,18/04/2022,24/04/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,3,1.00,6690.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,4,1.00,4017.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,3,1.00,21431.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,4,1.00,14909.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,1,2.00,4476.00
44,2022,31/10/2022,06/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,4,1.00,2137.00
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,10.00,32375.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,2,1.00,16731.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,3,1.00,35570.00
6,2022,07/02/2022,13/02/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,3,4.00,10673.00
30,2022,25/07/2022,31/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,4,2.00,3744.00
30,2022,25/07/2022,31/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,3.00,32375.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,60 a 69,3,1.00,47685.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,3,1.00,19704.00
41,2022,10/10/2022,16/10/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,3,1.00,6690.00
31,2022,01/08/2022,07/08/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,2,1.00,3262.00
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,1,3.00,7974.00
44,2022,31/10/2022,06/11/2022,61,LLEIDA,6100,LLEIDA,Dona,45 a 59,3,1.00,25261.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,60 a 69,2,1.00,14329.00
45,2022,07/11/2022,13/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,70 a 79,2,1.00,2961.00
44,2022,31/10/2022,06/11/2022,61,LLEIDA,6100,LLEIDA,Home,80 o més,4,1.00,2732.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,2,1.00,27350.00
30,2022,25/07/2022,31/07/2022,61,LLEIDA,6100,LLEIDA,Home,80 o més,3,2.00,5282.00
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,12.00,32375.00
9,2022,28/02/2022,06/03/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,3.00,32375.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,1,2.00,7974.00
29,2022,18/07/2022,24/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,3,5.00,13669.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,3,1.00,42867.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,2,2.00,19303.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,1.00,32375.00
46,2022,14/11/2022,20/11/2022,61,LLEIDA,6100,LLEIDA,Home,70 a 79,2,1.00,989.00
42,2022,17/10/2022,23/10/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,1,1.00,4476.00
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,3,1.00,52093.00
39,2022,26/09/2022,02/10/2022,61,LLEIDA,6100,LLEIDA,Dona,80 o més,4,1.00,4708.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,2,1.00,27350.00
43,2022,24/10/2022,30/10/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,3,2.00,30865.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,1,1.00,12023.00
46,2022,14/11/2022,20/11/2022,61,LLEIDA,6100,LLEIDA,Home,80 o més,4,1.00,2732.00
35,2022,29/08/2022,04/09/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,3,5.00,29821.00
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,4,2.00,6891.00
30,2022,25/07/2022,31/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,2,2.00,16248.00
45,2022,07/11/2022,13/11/2022,64,GIRONA,6400,GIRONA,Home,80 o més,3,1.00,10436.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 69,3,1.00,57248.00
25,2022,20/06/2022,26/06/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,2,1.00,8941.00
27,2022,04/07/2022,10/07/2022,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
53,2020,28/12/2020,03/01/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,70 a 79,3,4.00,11916.00
50,2020,07/12/2020,13/12/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,1,3.00,2435.00
21,2022,23/05/2022,29/05/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,3,1.00,13669.00
26,2022,27/06/2022,03/07/2022,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,2,2.00,15330.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,3,1.00,35550.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,3,2.00,30865.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,3,1.00,18562.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,4,1.00,14909.00
41,2020,05/10/2020,11/10/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,3,5.00,6331.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,3,2.00,29821.00
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,45 a 59,3,1.00,117929.00
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,45 a 59,3,1.00,45821.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,3,2.00,18707.00
43,2020,19/10/2020,25/10/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,3.00,5692.00
43,2022,24/10/2022,30/10/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 69,2,1.00,26703.00
44,2022,31/10/2022,06/11/2022,64,GIRONA,6400,GIRONA,Home,80 o més,4,1.00,6453.00
45,2022,07/11/2022,13/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,3,1.00,13669.00
46,2022,14/11/2022,20/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,3,2.00,7896.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,70 a 79,3,1.00,43709.00
35,2022,29/08/2022,04/09/2022,64,GIRONA,6400,GIRONA,Dona,80 o més,3,1.00,17434.00
46,2022,14/11/2022,20/11/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,70 a 79,4,1.00,9101.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,3,2.00,35550.00
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,3,1.00,18707.00
46,2022,14/11/2022,20/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,2.00,32375.00
38,2022,19/09/2022,25/09/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,3,1.00,13669.00
44,2022,31/10/2022,06/11/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,70 a 79,4,1.00,9101.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,4,1.00,12467.00
20,2022,16/05/2022,22/05/2022,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
42,2021,18/10/2021,24/10/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,3,1.00,18405.00
19,2020,04/05/2020,10/05/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,4,2.00,18660.00
21,2020,18/05/2020,24/05/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
41,2021,11/10/2021,17/10/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
46,2020,09/11/2020,15/11/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
30,2022,25/07/2022,31/07/2022,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
53,2020,28/12/2020,03/01/2021,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
12,2022,21/03/2022,27/03/2022,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
12,2020,16/03/2020,22/03/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
15,2021,12/04/2021,18/04/2021,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
12,2021,22/03/2021,28/03/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
23,2022,06/06/2022,12/06/2022,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
50,2021,13/12/2021,19/12/2021,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
13,2020,23/03/2020,29/03/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
50,2020,07/12/2020,13/12/2020,00,No disponible,0000,No disponible,Home,60 a 69,-1,1.00,0.00
8,2021,22/02/2021,28/02/2021,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
30,2022,25/07/2022,31/07/2022,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
29,2022,18/07/2022,24/07/2022,00,No disponible,0000,No disponible,Dona,70 a 79,-1,2.00,0.00
45,2020,02/11/2020,08/11/2020,00,No disponible,0000,No disponible,Home,70 a 79,-1,2.00,0.00
16,2020,13/04/2020,19/04/2020,00,No disponible,0000,No disponible,Home,45 a 59,-1,1.00,0.00
41,2021,11/10/2021,17/10/2021,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
49,2020,30/11/2020,06/12/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
13,2020,23/03/2020,29/03/2020,00,No disponible,0000,No disponible,Home,70 a 79,-1,2.00,0.00
52,2020,21/12/2020,27/12/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
10,2022,07/03/2022,13/03/2022,00,No disponible,0000,No disponible,Home,45 a 59,-1,1.00,0.00
15,2020,06/04/2020,12/04/2020,00,No disponible,0000,No disponible,Dona,45 a 59,-1,1.00,0.00
48,2020,23/11/2020,29/11/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
18,2020,27/04/2020,03/05/2020,00,No disponible,0000,No disponible,Home,45 a 59,-1,1.00,0.00
15,2022,11/04/2022,17/04/2022,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
14,2020,30/03/2020,05/04/2020,00,No disponible,0000,No disponible,Dona,60 a 69,-1,1.00,0.00
7,2022,14/02/2022,20/02/2022,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
19,2020,04/05/2020,10/05/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
52,2021,27/12/2021,02/01/2022,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
49,2020,30/11/2020,06/12/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
19,2020,04/05/2020,10/05/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
20,2020,11/05/2020,17/05/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
3,2021,18/01/2021,24/01/2021,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
47,2020,16/11/2020,22/11/2020,00,No disponible,0000,No disponible,Dona,60 a 69,-1,1.00,0.00
18,2022,02/05/2022,08/05/2022,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
19,2021,10/05/2021,16/05/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
29,2022,18/07/2022,24/07/2022,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
13,2020,23/03/2020,29/03/2020,00,No disponible,0000,No disponible,Home,60 a 69,-1,1.00,0.00
50,2020,07/12/2020,13/12/2020,00,No disponible,0000,No disponible,Dona,60 a 69,-1,1.00,0.00
53,2020,28/12/2020,03/01/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
51,2021,20/12/2021,26/12/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
7,2021,15/02/2021,21/02/2021,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
15,2020,06/04/2020,12/04/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
7,2021,15/02/2021,21/02/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
50,2020,07/12/2020,13/12/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
10,2022,07/03/2022,13/03/2022,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
39,2020,21/09/2020,27/09/2020,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
18,2020,27/04/2020,03/05/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
29,2022,18/07/2022,24/07/2022,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
50,2021,13/12/2021,19/12/2021,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
44,2020,26/10/2020,01/11/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
3,2022,17/01/2022,23/01/2022,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
10,2021,08/03/2021,14/03/2021,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
30,2022,25/07/2022,31/07/2022,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
20,2020,11/05/2020,17/05/2020,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
41,2020,05/10/2020,11/10/2020,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
17,2020,20/04/2020,26/04/2020,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
45,2020,02/11/2020,08/11/2020,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
15,2020,06/04/2020,12/04/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,2.00,0.00
45,2020,02/11/2020,08/11/2020,00,No disponible,0000,No disponible,Dona,60 a 69,-1,1.00,0.00
49,2021,06/12/2021,12/12/2021,00,No disponible,0000,No disponible,Home,45 a 59,-1,1.00,0.00
1,2022,03/01/2022,09/01/2022,00,No disponible,0000,No disponible,Home,80 o més,-1,2.00,0.00
21,2021,24/05/2021,30/05/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
18,2020,27/04/2020,03/05/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
14,2020,30/03/2020,05/04/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,3.00,0.00
51,2020,14/12/2020,20/12/2020,00,No disponible,0000,No disponible,Dona,60 a 69,-1,1.00,0.00
48,2021,29/11/2021,05/12/2021,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
39,2021,27/09/2021,03/10/2021,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
36,2021,06/09/2021,12/09/2021,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
1,2022,03/01/2022,09/01/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,3.00,5465.00
29,2021,19/07/2021,25/07/2021,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
19,2022,09/05/2022,15/05/2022,61,LLEIDA,6100,LLEIDA,Home,80 o més,4,1.00,2732.00
27,2022,04/07/2022,10/07/2022,61,LLEIDA,6100,LLEIDA,Dona,60 a 69,4,1.00,6835.00
7,2021,15/02/2021,21/02/2021,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
4,2021,25/01/2021,31/01/2021,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
33,2020,10/08/2020,16/08/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,1.00,5692.00
30,2022,25/07/2022,31/07/2022,61,LLEIDA,6100,LLEIDA,Home,80 o més,4,1.00,2732.00
15,2020,06/04/2020,12/04/2020,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,60 a 69,3,2.00,6892.00
15,2020,06/04/2020,12/04/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,1,8.00,16219.00
18,2020,27/04/2020,03/05/2020,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
17,2020,20/04/2020,26/04/2020,00,No disponible,0000,No disponible,No disponible,No disponible,-1,2.00,0.00
3,2022,17/01/2022,23/01/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,1.00,5465.00
37,2020,07/09/2020,13/09/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,1.00,5692.00
13,2020,23/03/2020,29/03/2020,00,No disponible,0000,No disponible,No disponible,No disponible,-1,3.00,0.00
53,2020,28/12/2020,03/01/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,-1,1.00,165.00
28,2021,12/07/2021,18/07/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,1.00,14783.00
15,2020,06/04/2020,12/04/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,-1,1.00,165.00
42,2022,17/10/2022,23/10/2022,61,LLEIDA,6100,LLEIDA,Dona,80 o més,4,2.00,4708.00
3,2021,18/01/2021,24/01/2021,61,LLEIDA,6100,LLEIDA,Home,45 a 59,3,1.00,27994.00
13,2021,29/03/2021,04/04/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,1.00,14783.00
29,2022,18/07/2022,24/07/2022,61,LLEIDA,6100,LLEIDA,Home,80 o més,4,1.00,2732.00
16,2020,13/04/2020,19/04/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,2.00,5692.00
16,2020,13/04/2020,19/04/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,1,3.00,16219.00
12,2020,16/03/2020,22/03/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,1,1.00,16219.00
30,2021,26/07/2021,01/08/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,6.00,14783.00
23,2021,07/06/2021,13/06/2021,61,LLEIDA,6100,LLEIDA,Home,45 a 59,3,1.00,27994.00
25,2022,20/06/2022,26/06/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,70 a 79,4,1.00,4611.00
18,2020,27/04/2020,03/05/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,1,1.00,16219.00
44,2020,26/10/2020,01/11/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,1,1.00,16219.00
49,2020,30/11/2020,06/12/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,45 a 59,2,1.00,31706.00
31,2021,02/08/2021,08/08/2021,61,LLEIDA,6100,LLEIDA,Home,45 a 59,3,1.00,27994.00
2,2021,11/01/2021,17/01/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,-1,1.00,313.00
20,2021,17/05/2021,23/05/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,1.00,14783.00
16,2020,13/04/2020,19/04/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,45 a 59,2,1.00,31706.00
1,2021,04/01/2021,10/01/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,5.00,14783.00
8,2021,22/02/2021,28/02/2021,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,45 a 59,3,1.00,12351.00
2,2021,11/01/2021,17/01/2021,61,LLEIDA,6100,LLEIDA,Home,45 a 59,3,1.00,27994.00
10,2021,08/03/2021,14/03/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,-1,1.00,178.00
33,2021,16/08/2021,22/08/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,-1,1.00,313.00
42,2020,12/10/2020,18/10/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,1.00,5692.00
17,2020,20/04/2020,26/04/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,60 a 69,4,1.00,5908.00
14,2020,30/03/2020,05/04/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,9.00,5692.00
53,2020,28/12/2020,03/01/2021,64,GIRONA,6400,GIRONA,Home,60 a 69,2,1.00,3287.00
51,2021,20/12/2021,26/12/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,1.00,14783.00
14,2020,30/03/2020,05/04/2020,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,60 a 69,3,1.00,6892.00
47,2020,16/11/2020,22/11/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,45 a 59,2,1.00,31706.00
12,2021,22/03/2021,28/03/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,2.00,14783.00
30,2020,20/07/2020,26/07/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,2.00,5692.00
2,2022,10/01/2022,16/01/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,1.00,5465.00
22,2021,31/05/2021,06/06/2021,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,45 a 59,3,1.00,12351.00
16,2020,13/04/2020,19/04/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,-1,1.00,530.00
34,2021,23/08/2021,29/08/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,-1,1.00,178.00
48,2020,23/11/2020,29/11/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,1,2.00,16219.00
52,2021,27/12/2021,02/01/2022,61,LLEIDA,6100,LLEIDA,Home,45 a 59,3,1.00,27994.00
17,2021,26/04/2021,02/05/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,1.00,14783.00
18,2020,27/04/2020,03/05/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,60 a 69,4,2.00,5908.00
19,2020,04/05/2020,10/05/2020,64,GIRONA,6400,GIRONA,Home,60 a 69,2,1.00,3287.00
3,2022,17/01/2022,23/01/2022,61,LLEIDA,6100,LLEIDA,Home,80 o més,4,2.00,2732.00
44,2020,26/10/2020,01/11/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,2.00,5692.00
45,2021,08/11/2021,14/11/2021,61,LLEIDA,6100,LLEIDA,Home,45 a 59,3,1.00,27994.00
16,2022,18/04/2022,24/04/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,1.00,5465.00
33,2021,16/08/2021,22/08/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,-1,1.00,178.00
8,2021,22/02/2021,28/02/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,1.00,14783.00
18,2021,03/05/2021,09/05/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,45 a 59,4,1.00,12708.00
20,2022,16/05/2022,22/05/2022,61,LLEIDA,6100,LLEIDA,Home,80 o més,4,1.00,2732.00
48,2020,23/11/2020,29/11/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,1.00,5692.00
19,2020,04/05/2020,10/05/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,45 a 59,2,1.00,31706.00
42,2020,12/10/2020,18/10/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,1,1.00,16219.00
